trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
269,False,"{'a': 0.08, 'e': 0.06696800274786414}",20,7,20.6704970188831,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.08, 'e': 0.06629832272038551}",20,9,-1.3381551144787012,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
271,False,"{'a': 0.08, 'e': 0.06563533949318165}",25,0,34.91483687528616,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
272,False,"{'a': 0.08, 'e': 0.06497898609824983}",30,3,39.89184693166377,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.08, 'e': 0.06432919623726734}",25,3,-10.71424948532854,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
274,False,"{'a': 0.08, 'e': 0.06368590427489466}",20,11,16.804099272358528,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.08, 'e': 0.06304904523214572}",25,9,29.024436999989614,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.08, 'e': 0.06241855477982426}",25,14,10.664676399042284,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
277,False,"{'a': 0.08, 'e': 0.06179436923202602}",25,13,22.985847341546673,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.08, 'e': 0.06117642553970576}",20,16,8.002777049756373,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.08, 'e': 0.0605646612843087}",20,0,31.07386425637324,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
280,False,"{'a': 0.08, 'e': 0.05995901467146561}",20,0,19.91034568758522,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
281,False,"{'a': 0.08, 'e': 0.05935942452475095}",30,22,13.771941143559035,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.08, 'e': 0.05876583027950344}",20,11,15.694611514687065,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.08, 'e': 0.0581781719767084}",25,14,23.197253797338952,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.08, 'e': 0.05759639025694132}",25,15,-0.5452879085798066,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
285,False,"{'a': 0.08, 'e': 0.057020426354371906}",25,13,-20.503159047736787,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
286,False,"{'a': 0.08, 'e': 0.05645022209082819}",25,8,2.7085580453823233,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
287,False,"{'a': 0.08, 'e': 0.05588571986991991}",30,12,31.620322340585904,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.08, 'e': 0.05532686267122071}",25,16,13.421271689990501,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.08, 'e': 0.0547735940445085}",20,7,27.075328054380684,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.08, 'e': 0.05422585810406342}",20,14,12.830571007875065,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.08, 'e': 0.05368359952302278}",20,14,11.982098726286534,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.08, 'e': 0.05314676352779255}",35,19,19.765932275944323,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
293,False,"{'a': 0.08, 'e': 0.052615295892514624}",30,16,22.096243449722795,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.08, 'e': 0.052089142933589475}",35,23,21.443158780995038,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.08, 'e': 0.05156825150425358}",25,15,5.015761602042832,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
296,False,"{'a': 0.08, 'e': 0.051052568989211046}",25,12,26.08217489682737,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.08, 'e': 0.05054204329931893}",25,13,-14.751051827718326,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
298,False,"{'a': 0.08, 'e': 0.05003662286632574}",25,8,28.234941044718713,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.08, 'e': 0.049536256637662486}",20,12,19.459229594716827,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,1,28.46527392996547,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,31.45809685450915,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,7,21.787254149546623,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,16,9.738928451096152,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,18,21.47210390601782,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,8,20.184836549593133,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,4,26.64377918760489,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,16,27.012382262090675,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,10,25.377120177566518,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,12,12.713333347832261,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
